Aluno,Tipo de erro 1,Tipo de erro 2,TE
1,Regra,,"25,00%"
2,Regra,Habilidade,"87,50%"
3,Habilidade,,"50,00%"
4,Regra,,"100,00%"
5,Regra,,"100,00%"
6,Regra,,"75,00%"
8,Regra,,"50,00%"
10,Regra,Habilidade,"62,50%"
11,Regra,,"87,50%"
13,Regra,,"75,00%"
14,Regra,,"87,50%"
15,Regra,,"37,50%"
16,Regra,Conhecimento,"100,00%"
19,Regra,,"62,50%"
20,Regra,,"100,00%"
21,Regra,,"87,50%"
22,Regra,,"100,00%"
23,Regra,,"62,50%"
24,Regra,,"75,00%"
25,Regra,,"50,00%"
26,Regra,,"37,50%"
27,Regra,,"37,50%"
28,Regra,,"87,50%"
29,Regra,,"12,50%"
