Aluno,Questão,Tipo de erro 1,Tipo de erro 2,TE,Qntde. de Testes Rejeitados
1,Merge Invertido,Regra,,"0,25",2
2,Merge Invertido,Regra,Habilidade,"0,88",7
3,Merge Invertido,Habilidade,,"0,50",4
4,Merge Invertido,Regra,,"1,00",8
5,Merge Invertido,Regra,,"1,00",8
6,Merge Invertido,Regra,,"0,75",6
8,Merge Invertido,Regra,,"0,50",4
10,Merge Invertido,Regra,Habilidade,"0,63",5
11,Merge Invertido,Regra,,"0,88",7
13,Merge Invertido,Regra,,"0,75",6
14,Merge Invertido,Regra,,"0,88",7
15,Merge Invertido,Regra,,"0,38",3
16,Merge Invertido,Regra,Conhecimento,"1,00",8
19,Merge Invertido,Regra,,"0,63",5
20,Merge Invertido,Regra,,"1,00",8
21,Merge Invertido,Regra,,"0,88",7
22,Merge Invertido,Regra,,"1,00",8
23,Merge Invertido,Regra,,"0,63",5
24,Merge Invertido,Regra,,"0,75",6
25,Merge Invertido,Regra,,"0,50",4
26,Merge Invertido,Regra,,"0,38",3
27,Merge Invertido,Regra,,"0,38",3
28,Merge Invertido,Regra,,"0,88",7
29,Merge Invertido,Regra,,"0,13",1
