Aluno,Questão,Qntde. de Testes Rejeitados
1,Merge Invertido,2
2,Merge Invertido,7
3,Merge Invertido,4
4,Merge Invertido,8
5,Merge Invertido,8
6,Merge Invertido,6
8,Merge Invertido,4
10,Merge Invertido,5
11,Merge Invertido,7
13,Merge Invertido,6
14,Merge Invertido,7
15,Merge Invertido,3
16,Merge Invertido,8
19,Merge Invertido,5
20,Merge Invertido,8
21,Merge Invertido,7
22,Merge Invertido,8
23,Merge Invertido,5
24,Merge Invertido,6
25,Merge Invertido,4
26,Merge Invertido,3
27,Merge Invertido,3
28,Merge Invertido,7
29,Merge Invertido,1
1,Pares de Palavras,2
2,Pares de Palavras,2
3,Pares de Palavras,2
4,Pares de Palavras,5
1,Square Code,5
2,Square Code,5
3,Square Code,5
4,Square Code,6
5,Square Code,6
6,Square Code,5
7,Square Code,5
8,Square Code,6
9,Square Code,6
10,Square Code,4
1,Squeeze,1
2,Squeeze,2
3,Squeeze,2
4,Squeeze,3
5,Squeeze,3
6,Squeeze,1
7,Squeeze,5
8,Squeeze,2
9,Squeeze,3
10,Squeeze,1
11,Squeeze,1
