id,Método,N de submissoes,Tempo (min)
21,Oráculo A,1,10
23,Oráculo A,1,10
30,Oráculo A,1,10
37,Oráculo A,6,10
17,Oráculo A,2,11
24,Oráculo A,4,11
38,Oráculo A,1,11
39,Oráculo A,2,11
40,Oráculo A,1,11
3,Oráculo A,5,12
19,Oráculo A,5,12
41,Oráculo A,1,12
8,Oráculo A,5,13
13,Oráculo A,6,13
29,Oráculo A,6,13
36,Oráculo A,5,13
15,Oráculo A,1,14
18,Oráculo A,6,14
27,Usual,4,15
12,Oráculo A,4,15
26,Oráculo A,4,15
34,Oráculo A,4,15
45,Oráculo A,3,15
6,Usual,3,16
10,Usual,6,16
25,Usual,2,16
30,Usual,10,16
32,Usual,5,16
33,Usual,5,16
38,Usual,1,16
28,Oráculo A,1,16
7,Usual,6,17
11,Usual,1,17
17,Usual,6,17
24,Usual,9,17
29,Usual,9,17
35,Usual,9,17
31,Oráculo A,7,17
32,Oráculo A,4,17
5,Usual,3,18
16,Usual,1,18
31,Usual,6,18
34,Usual,8,18
42,Usual,1,18
45,Usual,4,18
1,Oráculo A,6,18
2,Oráculo A,2,18
9,Oráculo A,2,18
27,Oráculo A,4,18
35,Oráculo A,2,18
2,Usual,8,19
3,Usual,5,19
8,Usual,9,19
12,Usual,7,19
41,Usual,2,19
5,Oráculo A,3,19
6,Oráculo A,2,19
16,Oráculo A,4,19
22,Oráculo A,1,19
13,Usual,1,20
14,Usual,9,20
15,Usual,9,20
20,Usual,4,20
21,Usual,8,20
26,Usual,8,20
37,Usual,7,20
4,Oráculo A,3,20
11,Oráculo A,7,20
25,Oráculo A,6,20
44,Oráculo A,6,20
1,Usual,7,21
4,Usual,5,21
28,Usual,8,21
44,Usual,3,21
14,Oráculo A,3,21
36,Usual,4,22
7,Oráculo A,4,22
42,Oráculo A,4,23
9,Usual,4,24
39,Usual,2,24
40,Usual,3,24
10,Oráculo A,5,24
20,Oráculo A,3,24
43,Oráculo A,5,24
18,Usual,10,25
19,Usual,8,25
22,Usual,5,25
23,Usual,2,25
43,Usual,7,25
33,Oráculo A,5,25
