Método,Tempo (min)
Usual,21
Usual,19
Usual,19
Usual,21
Usual,18
Usual,16
Usual,17
Usual,19
Usual,24
Usual,16
Usual,17
Usual,19
Usual,20
Usual,20
Usual,20
Usual,18
Usual,17
Usual,25
Usual,25
Usual,20
Usual,20
Usual,25
Usual,25
Usual,17
Usual,16
Usual,20
Usual,15
Usual,21
Usual,17
Usual,16
Usual,18
Usual,16
Usual,16
Usual,18
Usual,17
Usual,22
Usual,20
Usual,16
Usual,24
Usual,24
Usual,19
Usual,18
Usual,25
Usual,21
Usual,18
Oráculo A,18
Oráculo A,18
Oráculo A,12
Oráculo A,20
Oráculo A,19
Oráculo A,19
Oráculo A,22
Oráculo A,13
Oráculo A,18
Oráculo A,24
Oráculo A,20
Oráculo A,15
Oráculo A,13
Oráculo A,21
Oráculo A,14
Oráculo A,19
Oráculo A,11
Oráculo A,14
Oráculo A,12
Oráculo A,24
Oráculo A,10
Oráculo A,19
Oráculo A,10
Oráculo A,11
Oráculo A,20
Oráculo A,15
Oráculo A,18
Oráculo A,16
Oráculo A,13
Oráculo A,10
Oráculo A,17
Oráculo A,17
Oráculo A,25
Oráculo A,15
Oráculo A,18
Oráculo A,13
Oráculo A,10
Oráculo A,11
Oráculo A,11
Oráculo A,11
Oráculo A,12
Oráculo A,23
Oráculo A,24
Oráculo A,20
Oráculo A,15
TDD,12
TDD,16
TDD,14
TDD,25
TDD,17
TDD,18
TDD,24
TDD,12
TDD,24
TDD,12
TDD,15
TDD,15
TDD,24
TDD,29
TDD,14
TDD,22
TDD,13
TDD,20
TDD,24
TDD,21
TDD,23
TDD,25
TDD,23
TDD,18
TDD,13
TDD,18
TDD,18
TDD,22
TDD,24
TDD,19
TDD,20
TDD,19
TDD,24
TDD,28
TDD,22
TDD,22
TDD,20
TDD,19
TDD,23
TDD,20
TDD,24
TDD,16
TDD,22
TDD,19
TDD,23
Oráculo B,12
Oráculo B,17
Oráculo B,19
Oráculo B,20
Oráculo B,11
Oráculo B,17
Oráculo B,25
Oráculo B,13
Oráculo B,21
Oráculo B,12
Oráculo B,17
Oráculo B,16
Oráculo B,12
Oráculo B,22
Oráculo B,18
Oráculo B,13
Oráculo B,18
Oráculo B,15
Oráculo B,19
Oráculo B,20
Oráculo B,15
Oráculo B,14
Oráculo B,11
Oráculo B,14
Oráculo B,17
Oráculo B,10
Oráculo B,13
Oráculo B,14
Oráculo B,19
Oráculo B,14
Oráculo B,13
Oráculo B,15
Oráculo B,22
Oráculo B,18
Oráculo B,13
Oráculo B,21
Oráculo B,15
Oráculo B,14
Oráculo B,21
Oráculo B,20
Oráculo B,16
Oráculo B,14
Oráculo B,11
Oráculo B,11
Oráculo B,20
