id,Método,N de submissoes
1,Usual,7
2,Usual,8
3,Usual,5
4,Usual,5
5,Usual,3
6,Usual,3
7,Usual,6
8,Usual,9
9,Usual,4
10,Usual,6
11,Usual,1
12,Usual,7
13,Usual,1
14,Usual,9
15,Usual,9
16,Usual,1
17,Usual,6
18,Usual,10
19,Usual,8
20,Usual,4
21,Usual,8
22,Usual,5
23,Usual,2
24,Usual,9
25,Usual,2
26,Usual,8
27,Usual,4
28,Usual,8
29,Usual,9
30,Usual,10
31,Usual,6
32,Usual,5
33,Usual,5
34,Usual,8
35,Usual,9
36,Usual,4
37,Usual,7
38,Usual,1
39,Usual,2
40,Usual,3
41,Usual,2
42,Usual,1
43,Usual,7
44,Usual,3
45,Usual,4
1,Oráculo A,6
2,Oráculo A,2
3,Oráculo A,5
4,Oráculo A,3
5,Oráculo A,3
6,Oráculo A,2
7,Oráculo A,4
8,Oráculo A,5
9,Oráculo A,2
10,Oráculo A,5
11,Oráculo A,7
12,Oráculo A,4
13,Oráculo A,6
14,Oráculo A,3
15,Oráculo A,1
16,Oráculo A,4
17,Oráculo A,2
18,Oráculo A,6
19,Oráculo A,5
20,Oráculo A,3
21,Oráculo A,1
22,Oráculo A,1
23,Oráculo A,1
24,Oráculo A,4
25,Oráculo A,6
26,Oráculo A,4
27,Oráculo A,4
28,Oráculo A,1
29,Oráculo A,6
30,Oráculo A,1
31,Oráculo A,7
32,Oráculo A,4
33,Oráculo A,5
34,Oráculo A,4
35,Oráculo A,2
36,Oráculo A,5
37,Oráculo A,6
38,Oráculo A,1
39,Oráculo A,2
40,Oráculo A,1
41,Oráculo A,1
42,Oráculo A,4
43,Oráculo A,5
44,Oráculo A,6
45,Oráculo A,3
