Método,Tempo (min),N de submissoes
Usual,21,2
Usual,19,2
Usual,19,4
Usual,21,5
Usual,18,2
Usual,16,3
Usual,17,7
Usual,19,3
Usual,24,8
Usual,16,5
Usual,17,2
Usual,19,3
Usual,20,10
Usual,20,6
Usual,20,11
Usual,18,2
Usual,17,3
Usual,25,9
Usual,25,4
Usual,20,4
Usual,20,5
Usual,25,9
Usual,25,3
Usual,17,8
Usual,16,1
Usual,20,6
Usual,15,2
Usual,21,10
Usual,17,6
Usual,16,7
Usual,18,10
Usual,16,10
Usual,16,1
Usual,18,1
Usual,17,2
Usual,22,1
Usual,20,7
Usual,16,8
Usual,24,6
Usual,24,3
Usual,19,3
Usual,18,4
Usual,25,2
Usual,21,3
Usual,18,1
Oráculo A,18,1
Oráculo A,18,2
Oráculo A,12,2
Oráculo A,20,3
Oráculo A,19,1
Oráculo A,19,4
Oráculo A,22,4
Oráculo A,13,1
Oráculo A,18,6
Oráculo A,24,4
Oráculo A,20,1
Oráculo A,15,3
Oráculo A,13,4
Oráculo A,21,3
Oráculo A,14,5
Oráculo A,19,2
Oráculo A,11,3
Oráculo A,14,1
Oráculo A,12,1
Oráculo A,24,2
Oráculo A,10,3
Oráculo A,19,4
Oráculo A,10,1
Oráculo A,11,4
Oráculo A,20,1
Oráculo A,15,1
Oráculo A,18,1
Oráculo A,16,4
Oráculo A,13,1
Oráculo A,10,5
Oráculo A,17,5
Oráculo A,17,3
Oráculo A,25,1
Oráculo A,15,4
Oráculo A,18,3
Oráculo A,13,3
Oráculo A,10,3
Oráculo A,11,3
Oráculo A,11,3
Oráculo A,11,2
Oráculo A,12,3
Oráculo A,23,1
Oráculo A,24,1
Oráculo A,20,1
Oráculo A,15,1
TDD,12,4
TDD,16,2
TDD,14,8
TDD,25,4
TDD,17,1
TDD,18,4
TDD,24,5
TDD,12,4
TDD,24,5
TDD,12,2
TDD,15,8
TDD,15,2
TDD,24,6
TDD,29,4
TDD,14,5
TDD,22,5
TDD,13,2
TDD,20,3
TDD,24,1
TDD,21,3
TDD,23,3
TDD,25,9
TDD,23,6
TDD,18,6
TDD,13,5
TDD,18,2
TDD,18,8
TDD,22,7
TDD,24,3
TDD,19,8
TDD,20,1
TDD,16,5
TDD,20,9
TDD,27,6
TDD,15,10
TDD,14,4
TDD,15,6
TDD,16,4
TDD,21,8
TDD,21,1
TDD,14,2
TDD,13,3
TDD,16,4
TDD,10,7
TDD,18,7
Oráculo B,12,1
Oráculo B,17,1
Oráculo B,19,3
Oráculo B,20,4
Oráculo B,11,1
Oráculo B,17,4
Oráculo B,25,5
Oráculo B,13,2
Oráculo B,21,6
Oráculo B,12,1
Oráculo B,17,4
Oráculo B,16,1
Oráculo B,12,2
Oráculo B,22,3
Oráculo B,18,3
Oráculo B,13,4
Oráculo B,18,1
Oráculo B,15,1
Oráculo B,19,4
Oráculo B,20,2
Oráculo B,15,5
Oráculo B,14,8
Oráculo B,11,2
Oráculo B,14,1
Oráculo B,17,3
Oráculo B,10,5
Oráculo B,13,4
Oráculo B,14,2
Oráculo B,19,3
Oráculo B,14,4
Oráculo B,13,2
Oráculo B,15,1
Oráculo B,22,2
Oráculo B,18,5
Oráculo B,13,4
Oráculo B,21,4
Oráculo B,15,2
Oráculo B,14,3
Oráculo B,21,5
Oráculo B,20,3
Oráculo B,16,1
Oráculo B,14,4
Oráculo B,11,2
Oráculo B,11,2
Oráculo B,20,3
