Método,Tempo (min),N de submissoes
Usual,21,7
Usual,19,8
Usual,19,5
Usual,21,5
Usual,18,3
Usual,16,3
Usual,17,6
Usual,19,9
Usual,24,4
Usual,16,6
Usual,17,1
Usual,19,7
Usual,20,1
Usual,20,9
Usual,20,9
Usual,18,1
Usual,17,6
Usual,25,10
Usual,25,8
Usual,20,4
Usual,20,8
Usual,25,5
Usual,25,2
Usual,17,9
Usual,16,2
Usual,20,8
Usual,15,4
Usual,21,8
Usual,17,9
Usual,16,10
Usual,18,6
Usual,16,5
Usual,16,5
Usual,18,8
Usual,17,9
Usual,22,4
Usual,20,7
Usual,16,1
Usual,24,2
Usual,24,3
Usual,19,2
Usual,18,1
Usual,25,7
Usual,21,3
Usual,18,4
Oráculo A,18,6
Oráculo A,18,2
Oráculo A,12,5
Oráculo A,20,3
Oráculo A,19,3
Oráculo A,19,2
Oráculo A,22,4
Oráculo A,13,5
Oráculo A,18,2
Oráculo A,24,5
Oráculo A,20,7
Oráculo A,15,4
Oráculo A,13,6
Oráculo A,21,3
Oráculo A,14,1
Oráculo A,19,4
Oráculo A,11,2
Oráculo A,14,6
Oráculo A,12,5
Oráculo A,24,3
Oráculo A,10,1
Oráculo A,19,1
Oráculo A,10,1
Oráculo A,11,4
Oráculo A,20,6
Oráculo A,15,4
Oráculo A,18,4
Oráculo A,16,1
Oráculo A,13,6
Oráculo A,10,1
Oráculo A,17,7
Oráculo A,17,4
Oráculo A,25,5
Oráculo A,15,4
Oráculo A,18,2
Oráculo A,13,5
Oráculo A,10,6
Oráculo A,11,1
Oráculo A,11,2
Oráculo A,11,1
Oráculo A,12,1
Oráculo A,23,4
Oráculo A,24,5
Oráculo A,20,6
Oráculo A,15,3
TDD,12,3
TDD,16,8
TDD,14,1
TDD,25,7
TDD,17,9
TDD,18,5
TDD,24,4
TDD,12,6
TDD,24,7
TDD,12,9
TDD,15,3
TDD,15,9
TDD,24,8
TDD,29,3
TDD,14,5
TDD,22,1
TDD,13,3
TDD,20,10
TDD,24,4
TDD,21,2
TDD,23,2
TDD,25,10
TDD,23,5
TDD,18,4
TDD,13,6
TDD,18,4
TDD,18,3
TDD,22,4
TDD,24,3
TDD,19,2
TDD,20,7
TDD,19,9
TDD,23,9
TDD,23,8
TDD,16,3
TDD,26,1
TDD,23,5
TDD,28,8
TDD,17,9
TDD,21,3
TDD,17,4
TDD,17,10
TDD,20,5
TDD,18,4
TDD,30,4
Oráculo B,12,2
Oráculo B,17,1
Oráculo B,19,7
Oráculo B,20,3
Oráculo B,11,1
Oráculo B,17,6
Oráculo B,25,2
Oráculo B,13,5
Oráculo B,21,7
Oráculo B,12,1
Oráculo B,17,6
Oráculo B,16,6
Oráculo B,12,4
Oráculo B,22,6
Oráculo B,18,1
Oráculo B,13,7
Oráculo B,18,4
Oráculo B,15,5
Oráculo B,19,2
Oráculo B,20,7
Oráculo B,15,6
Oráculo B,14,4
Oráculo B,11,3
Oráculo B,14,4
Oráculo B,17,6
Oráculo B,10,1
Oráculo B,13,2
Oráculo B,14,6
Oráculo B,19,2
Oráculo B,14,4
Oráculo B,13,1
Oráculo B,15,6
Oráculo B,22,4
Oráculo B,18,1
Oráculo B,13,2
Oráculo B,21,1
Oráculo B,15,3
Oráculo B,14,7
Oráculo B,21,5
Oráculo B,20,7
Oráculo B,16,2
Oráculo B,14,1
Oráculo B,11,2
Oráculo B,11,3
Oráculo B,20,3
