Método,Tempo (min)
Usual,20
Usual,16
Usual,27
Usual,33
Usual,28
Usual,30
Usual,31
Usual,29
Usual,33
Usual,22
Usual,24
Usual,20
Usual,29
Usual,34
Usual,27
Usual,18
Usual,30
Usual,29
Usual,21
Usual,24
Usual,22
Usual,16
Usual,19
Usual,21
Usual,17
Usual,30
Usual,28
Usual,34
Usual,19
Usual,17
Usual,26
Oraculo A,18
Oraculo A,18
Oraculo A,12
Oraculo A,20
Oraculo A,19
Oraculo A,19
Oraculo A,22
Oraculo A,13
Oraculo A,18
Oraculo A,24
Oraculo A,20
Oraculo A,15
Oraculo A,13
Oraculo A,21
Oraculo A,14
Oraculo A,19
Oraculo A,11
Oraculo A,14
Oraculo A,12
Oraculo A,24
Oraculo A,10
Oraculo A,19
Oraculo A,10
Oraculo A,11
Oraculo A,20
Oraculo A,15
Oraculo A,18
Oraculo A,16
Oraculo A,13
Oraculo A,10
Oraculo A,17
TDD,12
TDD,16
TDD,14
TDD,25
TDD,17
TDD,18
TDD,24
TDD,12
TDD,24
TDD,12
TDD,15
TDD,15
TDD,24
TDD,29
TDD,14
TDD,22
TDD,13
TDD,20
TDD,24
TDD,21
TDD,23
TDD,25
TDD,23
TDD,18
TDD,13
TDD,18
TDD,18
TDD,22
TDD,24
TDD,19
TDD,20
Oráculo B,12
Oráculo B,17
Oráculo B,19
Oráculo B,20
Oráculo B,11
Oráculo B,17
Oráculo B,25
Oráculo B,13
Oráculo B,21
Oráculo B,12
Oráculo B,17
Oráculo B,16
Oráculo B,12
Oráculo B,22
Oráculo B,18
Oráculo B,13
Oráculo B,18
Oráculo B,15
Oráculo B,19
Oráculo B,20
Oráculo B,15
Oráculo B,14
Oráculo B,11
Oráculo B,14
Oráculo B,17
Oráculo B,10
Oráculo B,13
Oráculo B,14
Oráculo B,19
Oráculo B,14
Oráculo B,13
