id,Método,N de submissoes,Tempo (min)
1,TDD,3,12
2,TDD,8,16
3,TDD,1,14
4,TDD,7,25
5,TDD,9,17
6,TDD,5,18
7,TDD,4,24
8,TDD,6,12
9,TDD,7,24
10,TDD,9,12
11,TDD,3,15
12,TDD,9,15
13,TDD,8,24
14,TDD,3,29
15,TDD,5,14
16,TDD,1,22
17,TDD,3,13
18,TDD,10,20
19,TDD,4,24
20,TDD,2,21
21,TDD,2,23
22,TDD,10,25
23,TDD,5,23
24,TDD,4,18
25,TDD,6,13
26,TDD,4,18
27,TDD,3,18
28,TDD,4,22
29,TDD,3,24
30,TDD,2,19
31,TDD,7,20
32,TDD,9,12
33,TDD,9,10
34,TDD,8,10
35,TDD,3,28
36,TDD,1,14
37,TDD,5,18
38,TDD,8,21
39,TDD,9,19
40,TDD,3,24
41,TDD,4,24
42,TDD,10,17
43,TDD,5,12
44,TDD,4,13
45,TDD,4,10
1,Oráculo B,2,12
2,Oráculo B,1,17
3,Oráculo B,7,19
4,Oráculo B,3,20
5,Oráculo B,1,11
6,Oráculo B,6,17
7,Oráculo B,2,25
8,Oráculo B,5,13
9,Oráculo B,7,21
10,Oráculo B,1,12
11,Oráculo B,6,17
12,Oráculo B,6,16
13,Oráculo B,4,12
14,Oráculo B,6,22
15,Oráculo B,1,18
16,Oráculo B,7,13
17,Oráculo B,4,18
18,Oráculo B,5,15
19,Oráculo B,2,19
20,Oráculo B,7,20
21,Oráculo B,6,15
22,Oráculo B,4,14
23,Oráculo B,3,11
24,Oráculo B,4,14
25,Oráculo B,6,17
26,Oráculo B,1,10
27,Oráculo B,2,13
28,Oráculo B,6,14
29,Oráculo B,2,19
30,Oráculo B,4,14
31,Oráculo B,1,13
32,Oráculo B,6,15
33,Oráculo B,4,22
34,Oráculo B,1,18
35,Oráculo B,2,13
36,Oráculo B,1,21
37,Oráculo B,3,15
38,Oráculo B,7,14
39,Oráculo B,5,21
40,Oráculo B,7,20
41,Oráculo B,2,16
42,Oráculo B,1,14
43,Oráculo B,2,11
44,Oráculo B,3,11
45,Oráculo B,3,20
