id,Método,N de submissoes,Tempo (min)
1,Usual,7,21
2,Usual,8,19
3,Usual,5,19
4,Usual,5,21
5,Usual,3,18
6,Usual,3,16
7,Usual,6,17
8,Usual,9,19
9,Usual,4,24
10,Usual,6,16
11,Usual,1,17
12,Usual,7,19
13,Usual,1,20
14,Usual,9,20
15,Usual,9,20
16,Usual,1,18
17,Usual,6,17
18,Usual,10,25
19,Usual,8,25
20,Usual,4,20
21,Usual,8,20
22,Usual,5,25
23,Usual,2,25
24,Usual,9,17
25,Usual,2,16
26,Usual,8,20
27,Usual,4,15
28,Usual,8,21
29,Usual,9,17
30,Usual,10,16
31,Usual,6,18
32,Usual,5,16
33,Usual,5,16
34,Usual,8,18
35,Usual,9,17
36,Usual,4,22
37,Usual,7,20
38,Usual,1,16
39,Usual,2,24
40,Usual,3,24
41,Usual,2,19
42,Usual,1,18
43,Usual,7,25
44,Usual,3,21
45,Usual,4,18
1,Oráculo A,6,18
2,Oráculo A,2,18
3,Oráculo A,5,12
4,Oráculo A,3,20
5,Oráculo A,3,19
6,Oráculo A,2,19
7,Oráculo A,4,22
8,Oráculo A,5,13
9,Oráculo A,2,18
10,Oráculo A,5,24
11,Oráculo A,7,20
12,Oráculo A,4,15
13,Oráculo A,6,13
14,Oráculo A,3,21
15,Oráculo A,1,14
16,Oráculo A,4,19
17,Oráculo A,2,11
18,Oráculo A,6,14
19,Oráculo A,5,12
20,Oráculo A,3,24
21,Oráculo A,1,10
22,Oráculo A,1,19
23,Oráculo A,1,10
24,Oráculo A,4,11
25,Oráculo A,6,20
26,Oráculo A,4,15
27,Oráculo A,4,18
28,Oráculo A,1,16
29,Oráculo A,6,13
30,Oráculo A,1,10
31,Oráculo A,7,17
32,Oráculo A,4,17
33,Oráculo A,5,25
34,Oráculo A,4,15
35,Oráculo A,2,18
36,Oráculo A,5,13
37,Oráculo A,6,10
38,Oráculo A,1,11
39,Oráculo A,2,11
40,Oráculo A,1,11
41,Oráculo A,1,12
42,Oráculo A,4,23
43,Oráculo A,5,24
44,Oráculo A,6,20
45,Oráculo A,3,15
