id,Método,N de submissoes
26,Oráculo B,1
5,Oráculo B,1
10,Oráculo B,1
31,Oráculo B,1
3,TDD,1
36,TDD,1
42,Oráculo B,1
2,Oráculo B,1
15,Oráculo B,1
34,Oráculo B,1
36,Oráculo B,1
16,TDD,1
43,Oráculo B,2
1,Oráculo B,2
27,Oráculo B,2
35,Oráculo B,2
41,Oráculo B,2
30,TDD,2
19,Oráculo B,2
29,Oráculo B,2
20,TDD,2
21,TDD,2
7,Oráculo B,2
23,Oráculo B,3
44,Oráculo B,3
1,TDD,3
17,TDD,3
11,TDD,3
37,Oráculo B,3
27,TDD,3
4,Oráculo B,3
45,Oráculo B,3
29,TDD,3
40,TDD,3
35,TDD,3
14,TDD,3
45,TDD,4
13,Oráculo B,4
44,TDD,4
22,Oráculo B,4
24,Oráculo B,4
30,Oráculo B,4
24,TDD,4
26,TDD,4
17,Oráculo B,4
28,TDD,4
33,Oráculo B,4
7,TDD,4
19,TDD,4
41,TDD,4
43,TDD,5
8,Oráculo B,5
15,TDD,5
18,Oráculo B,5
6,TDD,5
37,TDD,5
39,Oráculo B,5
23,TDD,5
8,TDD,6
25,TDD,6
28,Oráculo B,6
21,Oráculo B,6
32,Oráculo B,6
12,Oráculo B,6
6,Oráculo B,6
11,Oráculo B,6
25,Oráculo B,6
14,Oráculo B,6
16,Oráculo B,7
38,Oráculo B,7
3,Oráculo B,7
31,TDD,7
20,Oráculo B,7
40,Oráculo B,7
9,Oráculo B,7
9,TDD,7
4,TDD,7
34,TDD,8
2,TDD,8
38,TDD,8
13,TDD,8
33,TDD,9
10,TDD,9
32,TDD,9
12,TDD,9
5,TDD,9
39,TDD,9
42,TDD,10
18,TDD,10
22,TDD,10
