id,Método,N de submissoes
21,Oráculo A,1
23,Oráculo A,1
30,Oráculo A,1
38,Oráculo A,1
40,Oráculo A,1
41,Oráculo A,1
15,Oráculo A,1
38,Usual,1
28,Oráculo A,1
11,Usual,1
16,Usual,1
42,Usual,1
22,Oráculo A,1
13,Usual,1
17,Oráculo A,2
39,Oráculo A,2
25,Usual,2
2,Oráculo A,2
9,Oráculo A,2
35,Oráculo A,2
41,Usual,2
6,Oráculo A,2
39,Usual,2
23,Usual,2
45,Oráculo A,3
6,Usual,3
5,Usual,3
5,Oráculo A,3
4,Oráculo A,3
44,Usual,3
14,Oráculo A,3
40,Usual,3
20,Oráculo A,3
24,Oráculo A,4
27,Usual,4
12,Oráculo A,4
26,Oráculo A,4
34,Oráculo A,4
32,Oráculo A,4
45,Usual,4
27,Oráculo A,4
16,Oráculo A,4
20,Usual,4
36,Usual,4
7,Oráculo A,4
42,Oráculo A,4
9,Usual,4
3,Oráculo A,5
19,Oráculo A,5
8,Oráculo A,5
36,Oráculo A,5
32,Usual,5
33,Usual,5
3,Usual,5
4,Usual,5
10,Oráculo A,5
43,Oráculo A,5
22,Usual,5
33,Oráculo A,5
37,Oráculo A,6
13,Oráculo A,6
29,Oráculo A,6
18,Oráculo A,6
10,Usual,6
7,Usual,6
17,Usual,6
31,Usual,6
1,Oráculo A,6
25,Oráculo A,6
44,Oráculo A,6
31,Oráculo A,7
12,Usual,7
37,Usual,7
11,Oráculo A,7
1,Usual,7
43,Usual,7
34,Usual,8
2,Usual,8
21,Usual,8
26,Usual,8
28,Usual,8
19,Usual,8
24,Usual,9
29,Usual,9
35,Usual,9
8,Usual,9
14,Usual,9
15,Usual,9
30,Usual,10
18,Usual,10
